url,title,description,email_addresses,careers_page
https://summitdaymedia.com/,SummitDay Media - Together We Reach The Top!,Business focused on moving image production & preservation,,
https://www.msialaska.com/,MSI Communications – Marketing • Strategy • Interactive,,"info@msialaska.com,recruitment@msialaska.com",https://www.msialaska.com/our-careers/
https://wostmann.com/,Wostmann Associates - Alaska based IT Consulting Firm,"Wostmann is a leading Alaska based IT consulting firm providing software development, system integration, business analysis, project management, and client representation services.",info@wostmann.com,https://wostmann.com/careers/
https://www.7oaksgroup.com/,7 Oaks Group,,,
https://www.flyntlok.com/careers/,Careers - Flyntlok Equipment Dealer Management System,,"info@flyntlok.com,sales@flyntlok.comBusiness",https://www.flyntlok.com/careers/
https://kartorium.com,Kartorium - digital twin creation made simple,"Kartorium is a 3D digital twin platform. We allow users to create and share 
virtual copies of real-world environments.",info@kartorium.com,
https://wostmann.com/,Wostmann Associates - Alaska based IT Consulting Firm,"Wostmann is a leading Alaska based IT consulting firm providing software development, system integration, business analysis, project management, and client representation services.",,
https://queryon.com/,Home - Queryon,Harness the Power of your data. Queryon offers data analytics solutions to solve your toughest business problems.,"hello@queryon.com,query@queryon.com,om@queryon.com",https://queryon.com/join-us/
https://nwds-ak.com,Anchorage AK Web Design Development Company Best Business Apps,,,"https://nwds-ak.com/Careers,https://nwds-ak.com/Careers/Software-Engineer"
https://webbres.com/,WebbRes Business Management System | Rentals | Sales | Services,"One-Stop Solution — Manage your sales, rentals, and service operations from one platform. Improve efficiency and save time with WebbRes","sales@webbres.com,support@webbres.com,support@webbres.comBy",
https://www.nexusdatasolutions.com/,Home | nexusdatasolutions,,info@nexusdatasolutions.com,
https://designori.net/,Designori,Immersive training in VR and on the Web. We design learning experiences.,,
https://www.7oaksgroup.com/,7 Oaks Group,,,
https://grio.com/,Expert Web & Mobile App Developers for Startups to Enterprises | Grio,"Grio is a 15-yr leading Bay Area software dev agency specializing in world-class web and mobile strategy, design, and engineering. Book a FREE consult!",,
https://www.ctg.com,A Digital Transformation Consulting Services Company | CTG,CTG is a top digital transformation solutions provider with 55+ years of experience. We don't just deliver transformation—we deliver Transformation Accelerated.,,
https://www.ripcord.com/,Ripcord | Turn Your Documents into Powerful Data,"Ripcord turns documents into powerful data leveraging artificial intelligence, machine learning, and robotics.","support@ripcord.com,legal@ripcord.com,recruiting@ripcord.com",https://www.ripcord.com/careers
